"analysis","logFC","AveExpr","t","P.Value","adj.P.Val","B","metric"
"Diversity_Trajectory",1.95146727714222,105.349673202614,3.29476451044724,0.00110946138497208,0.00776622969480457,-4.36845388086451,"richness"
"Diversity_Trajectory",0.0337213410487137,3.81846658980901,2.27847185920551,0.0234379967473574,0.0820329886157508,-7.13261736297863,"viral_load_cv"
"Diversity_Trajectory",0.00628229417610191,2.0136043433686,0.761858584040942,0.446774023473947,0.822499982236593,-9.4229920107495,"shannon"
"Diversity_Trajectory",10100.1313144628,844683.558823529,0.631126565812204,0.528463284153424,0.822499982236593,-9.51420538272349,"total_abundance"
"Diversity_Trajectory",-0.000933208268561982,0.475920578971397,-0.458248652109881,0.64712281191245,0.822499982236593,-9.60859598425135,"dominance"
"Diversity_Trajectory",0.000833641565040019,0.631281435622231,0.378959432900532,0.704999984774223,0.822499982236593,-9.64188133099181,"simpson"
"Diversity_Trajectory",-4.64014618172158e-05,0.448721127046262,-0.027620969627034,0.97798377569423,0.97798377569423,-9.71353475224849,"evenness"
"Slope_Analysis",4.5951540424721,1.81941320502284,3.13450504799777,0.00390365190725296,0.0139763813060135,-4.07805582948067,"slope_richness"
"Slope_Analysis",-0.0181093730196404,-0.00995779554925651,-3.12556621880091,0.00399325180171815,0.0139763813060135,-4.09970749137295,"slope_dominance"
"Slope_Analysis",0.0624772224027905,0.0345061566493168,2.77907234210047,0.00943845306366691,0.0215879407253992,-4.91347845350619,"slope_shannon"
"Slope_Analysis",0.0135818189671587,0.00588367930741486,2.66684835041192,0.0123593880479645,0.0215879407253992,-5.16534391832153,"slope_evenness"
"Slope_Analysis",0.0162519252243833,0.0113524434008195,2.57320423317511,0.0154199576609994,0.0215879407253992,-5.37065619746195,"slope_simpson"
"Slope_Analysis",20966.4255767876,-446.252794256564,1.01550192762929,0.318212426826909,0.371247831298061,-7.93125678469543,"slope_total_abundance"
"Slope_Analysis",0.000772630852749387,0.0187553958810268,0.0138559322157924,0.989039213526279,0.989039213526279,-8.45500527936897,"slope_viral_load_cv"
"Stability_Analysis",-0.349846044740147,1.05871838160133,-1.99768404550867,0.0548680835590334,0.287632210039046,-3.90956536651245,"stability_total_abundance"
"Stability_Analysis",-0.959432514485168,1.80750006094918,-1.6680705980667,0.105684665113915,0.287632210039046,-4.24122146013782,"stability_richness"
"Stability_Analysis",-1.44782420785068,2.75569978790186,-1.50087841440684,0.143816105019523,0.287632210039046,-4.3921115741967,"stability_shannon"
"Stability_Analysis",-3.89292705592925,6.39778329070925,-1.12605221418677,0.269051120241476,0.403576680362214,-4.68193991718377,"stability_simpson"
"Stability_Analysis",-0.670006102891604,2.38270017522046,-0.827582476552867,0.414427321731639,0.497312786077966,-4.85963218431886,"stability_dominance"
"Stability_Analysis",-1.01558048522813,3.71524064287055,-0.618517449912332,0.540891996745534,0.540891996745534,-4.95361679014651,"stability_evenness"
"Turnover_Analysis",0.0225359970479751,0.757083202374694,0.413299675093565,0.682427348435,0.682427348435,-5.26388484839476,"1"
