"","T0.72","T0.66","T0.60","T0.54","T0.48","T0.42","T0.36","T0.30","T0.24","T0.18","T0.12","T0.6","T0"
"Pattern_1",-11.2295055384924,-10.9148966023716,-10.4530690107982,-9.37574075886285,-5.68774912940602,-2.98209066880746,1.643557340958,5.13364189318962,8.86055628142425,9.80721442385962,11.0562286067434,11.347217905748,11.6451240699182
"Pattern_2",11.6579881109853,11.4561543796824,11.2069365051278,10.5609887447387,7.21734469110146,0.913779214960961,-0.218800782142723,-3.6920656675575,-6.0684389411116,-9.18380253124393,-10.6449952498926,-10.3358813896245,-11.0779020183982
"Pattern_3",6.65877545443164,5.85627664352587,5.02631039982662,3.21429481855751,1.11204665401391,0.681787874723692,-2.66792945222855,-4.6938941016938,-6.59277232013973,-6.6531893907537,-7.21917045796301,-7.25052533084514,-7.50518408654555
"Pattern_4",-7.71542564673932,-7.35207249260563,-6.81522292502482,-5.88690877346405,-5.5785664969054,-4.5417715190837,-3.66705925741054,-2.56704505390348,-0.937779184900644,0.223099817520176,2.8476544468039,4.5347941259148,6.46742071822334
"Pattern_5",9.02752668568352,8.85093245186772,8.57646293773034,7.82824261106716,6.02800624555466,3.06769619055915,2.75214758328133,1.00364238660868,1.29831630427847,-0.288013261399078,-2.19178213478076,-4.35257405997016,-7.66403410835809
"Pattern_6",-3.23082552076351,-1.73271666999152,-0.60796657628681,0.778790955079627,-3.39806484884332,-4.25509342534914,-3.2437647531728,-3.35756981415096,2.64032447584708,2.2770874533971,3.780959124371,1.34906879325764,4.64978894847485
"Pattern_7",-1.15931969209401,-1.16653585554631,-1.14330110958951,-1.06348181603837,-1.22141168818891,-0.796138233204181,-1.07276823883209,-1.05846408098706,-0.68899952690018,-0.571282987352534,-0.640627490223284,-0.622548005402686,-0.620273891735701
"Pattern_8",-0.638102487719638,-0.367683575377916,-0.09936834834474,0.15060515550097,-0.759835305778608,-0.595540495763812,-0.163258186571748,-0.113732750700325,0.303974860317438,0.438440065927005,0.849005739192209,0.599331469224681,1.32008191707937
"Pattern_9",2.21657976887893,2.37845212853726,2.55417598314876,2.73158716089601,0.587704621650595,0.13010279193073,0.537922978642007,0.24098564146554,1.39884070592464,1.20935781663323,1.44524806895778,0.891322994750567,1.40018726731441
"Pattern_10",-6.38700409641879,-5.93479131707993,-4.80952399409005,-3.60682771005116,-4.55263937366824,-2.68369768595949,2.53006906482861,4.10794337640491,5.76420061457872,6.10538535933432,6.50567002480455,6.78206449384895,7.0212446606256
"Pattern_11",1.26738703971663,1.27678479726654,1.29001898431613,1.30992755538486,1.28915895914527,1.30332433965487,1.29508415399104,1.35496199882459,1.56970445783771,1.7876598395005,1.74657669289544,1.56168242299873,1.49245226281651
"Pattern_12",6.61172211291434,6.41103587980169,6.16192630449309,5.89767786542687,5.53920640117582,4.86093399727217,4.30531086442913,3.60876060326082,3.16391108197965,2.85415117573631,0.93103496388016,-2.1167600925628,-4.26117434061162
