"cluster","n_orfs","mean_slope","mean_variance","mean_early_late_diff","mean_peak_time","dominant_pattern"
1,32,-33.3154032061432,110.902525052841,16.6415916303063,0.309375,"decreasing"
2,54,32.8729670652355,109.735969792196,-16.0425701374172,0.665555555555556,"increasing"
3,65,19.837977523577,43.4359591052568,-9.49267914696883,0.0655384615384615,"increasing"
4,126,-15.0409699131892,30.6036459783602,7.69807563702399,0.698571428571429,"decreasing"
5,94,18.2332159626414,46.1406566012503,-8.62255243690023,0.621063829787234,"increasing"
6,132,-8.25135860573172,22.4762696858198,4.13132042629385,0.443636363636364,"biphasic"
7,186,-0.765558029463911,2.73565347745726,0.388627807684529,0.0296774193548387,"decreasing"
8,372,-1.90845188460891,1.99433335559099,0.919495442181325,0.573387096774194,"decreasing"
9,366,1.5346307547241,2.92139554526028,-0.493275122304347,0.375245901639344,"biphasic"
10,57,-19.2205711710305,35.4544806106691,9.68266786623366,0.00842105263157895,"decreasing"
11,232,-0.542720891639869,2.09598823818028,0.295265446363388,0.712758620689655,"increasing"
12,129,9.43851416378507,15.0473765929157,-4.98731944788812,0.705581395348837,"increasing"
