"ORF","Variance","Rank"
"virus_comp_18176_cycle_1_7",63.6750557560356,1
"virus_comp_18176_cycle_1_6",56.0067670539881,2
"virus_comp_2489_cycle_1_3",47.4530184501294,3
"virus_comp_2527_cycle_1_12",37.9332954264257,4
"virus_comp_2440_cycle_1_7",35.1574993431062,5
"edge_187_6",34.0831160173712,6
"edge_187_4",33.4749980857503,7
"virus_comp_17955_cycle_1_1",33.1776111650631,8
"virus_comp_17778_cycle_1_2",31.7315982927889,9
"virus_comp_3744_cycle_1_5",31.4059135747588,10
"virus_comp_17889_cycle_1_15",30.6757330013688,11
"virus_comp_17889_cycle_1_37",30.3570076394345,12
"virus_comp_17889_cycle_1_36",30.3181410724144,13
"virus_comp_17889_cycle_1_2",30.0510923599653,14
"virus_comp_853_cycle_1_16",29.8362658989166,15
"virus_comp_17889_cycle_1_17",29.4554706273437,16
"virus_comp_2760_cycle_1_8",29.4026183637899,17
"edge_187_10",29.3226682072228,18
"virus_comp_17889_cycle_1_8",29.1934164447942,19
"virus_comp_17955_cycle_1_2",29.1911217629367,20
"virus_comp_17889_cycle_1_16",29.180590080575,21
"virus_comp_17889_cycle_1_30",29.1488992348512,22
"virus_comp_17889_cycle_1_6",29.0258320814279,23
"virus_comp_465_cycle_1_20",28.943621706956,24
"virus_comp_17889_cycle_1_9",28.9325536603342,25
"virus_comp_17889_cycle_1_7",28.9209284423162,26
"virus_comp_17889_cycle_1_4",28.8963104290432,27
"virus_comp_17889_cycle_1_34",28.7276423742374,28
"virus_comp_17889_cycle_1_31",28.7012300369466,29
"virus_comp_17889_cycle_1_58",28.6381554735376,30
"virus_comp_62_cycle_1_58",28.6318628493046,31
"virus_comp_2399_cycle_1_9",28.618499953241,32
"virus_comp_17889_cycle_1_12",28.5965460420056,33
"virus_comp_17889_cycle_1_60",28.5594656230839,34
"edge_187_3",28.4761206503912,35
"virus_comp_971_cycle_1_8",28.4040549622256,36
"virus_comp_17889_cycle_1_21",28.3550005750948,37
"virus_comp_17889_cycle_1_5",28.3539587662304,38
"virus_comp_17889_cycle_1_38",28.3502588554641,39
"virus_comp_17889_cycle_1_50",28.3064380935754,40
"virus_comp_17955_cycle_1_16",28.2976426455682,41
"virus_comp_17889_cycle_1_59",28.1929972495814,42
"virus_comp_17955_cycle_1_3",28.1814193299278,43
"virus_comp_17955_cycle_1_13",28.1718210481912,44
"virus_comp_17955_cycle_1_7",28.052229012577,45
"virus_comp_17889_cycle_1_63",28.0271318336671,46
"virus_comp_17889_cycle_1_61",28.0128073213223,47
"virus_comp_17955_cycle_1_12",27.971945524942,48
"virus_comp_17889_cycle_1_10",27.9075176760245,49
"edge_187_11",27.9018360787246,50
"virus_comp_17889_cycle_1_62",27.8690735021473,51
"virus_comp_17840_cycle_1_44",27.8508275326899,52
"virus_comp_17889_cycle_1_48",27.8494727053801,53
"virus_comp_17889_cycle_1_29",27.8149405849973,54
"virus_comp_17889_cycle_1_14",27.7717018903494,55
"virus_comp_17955_cycle_1_15",27.7641279858524,56
"virus_comp_17889_cycle_1_69",27.7554401903122,57
"virus_comp_17889_cycle_1_33",27.6693995036246,58
"virus_comp_877_cycle_1_12",27.6037256290527,59
"virus_comp_17889_cycle_1_66",27.5507728267785,60
"virus_comp_4092_cycle_1_6",27.5174206204155,61
"virus_comp_17889_cycle_1_11",27.5002973099013,62
"virus_comp_2270_cycle_1_6",27.4846500004947,63
"edge_2381_14",27.4267939876841,64
"virus_comp_62_cycle_1_26",27.4133412669712,65
"virus_comp_17889_cycle_1_35",27.4036265344993,66
"virus_comp_3571_cycle_1_6",27.3518231125538,67
"virus_comp_17889_cycle_1_22",27.2800773557309,68
"edge_2381_18",27.2777418392225,69
"virus_comp_18480_cycle_1_1",27.2365380094892,70
"edge_187_9",27.1934098055905,71
"virus_comp_708_cycle_1_12",27.1637078401477,72
"edge_187_2",27.0191827957735,73
"edge_2381_10",27.0123095009468,74
"virus_comp_876_cycle_1_8",27.0017816381515,75
"edge_2381_8",26.9294299020326,76
"edge_2381_38",26.9056606060102,77
"edge_2381_19",26.8436536010147,78
"edge_2381_21",26.8358545301493,79
"edge_2381_22",26.8336676047675,80
"virus_comp_62_cycle_1_52",26.8155548348735,81
"virus_comp_876_cycle_1_6",26.8059149747156,82
"virus_comp_18253_cycle_1_2",26.7821084864734,83
"virus_comp_877_cycle_1_10",26.7431464374402,84
"edge_2381_42",26.7279681053457,85
"virus_comp_17889_cycle_1_32",26.7263742421766,86
"edge_2381_23",26.707129134398,87
"edge_72_14",26.6842340342463,88
"virus_comp_876_cycle_1_9",26.6740276334063,89
"virus_comp_16682_cycle_1_2",26.6533535622434,90
"edge_2381_41",26.6205504678593,91
"virus_comp_18253_cycle_1_1",26.6009611594597,92
"virus_comp_62_cycle_1_53",26.5856931328341,93
"virus_comp_17992_cycle_1_13",26.5723705928463,94
"virus_comp_2440_cycle_1_5",26.5632688466678,95
"virus_comp_971_cycle_1_9",26.5611477004804,96
"virus_comp_873_cycle_1_3",26.5418144201743,97
"edge_2636_1",26.5142827060723,98
"edge_72_15",26.4917046494355,99
"virus_comp_17664_cycle_1_1",26.482868708422,100
"virus_comp_876_cycle_1_3",26.4789006217438,101
"edge_2381_31",26.4773601761163,102
"virus_comp_9815_cycle_1_1",26.4655730418299,103
"virus_comp_1035_cycle_1_5",26.4471919900778,104
"virus_comp_3958_cycle_1_2",26.4467959622662,105
"edge_2381_20",26.4377923805231,106
"edge_2381_17",26.427662196913,107
"virus_comp_971_cycle_1_5",26.4036553916532,108
"edge_2381_16",26.3921351250818,109
"virus_comp_876_cycle_1_11",26.3893868818626,110
"edge_329_23",26.3816489490658,111
"edge_2381_28",26.3786046856464,112
"virus_comp_876_cycle_1_12",26.3573253265659,113
"virus_comp_3124_cycle_1_7",26.3564639680674,114
"virus_comp_5504_cycle_1_1",26.3451174904293,115
"virus_comp_875_cycle_1_5",26.3351539916308,116
"virus_comp_936_cycle_1_5",26.3137827360327,117
"virus_comp_17990_cycle_1_3",26.3022280015864,118
"virus_comp_2760_cycle_1_7",26.3014022446712,119
"virus_comp_17787_cycle_1_9",26.2965478905892,120
"edge_2381_6",26.2889935319343,121
"edge_263_25",26.2885970938838,122
"edge_2381_15",26.2793408132538,123
"virus_comp_876_cycle_1_10",26.2688627933258,124
"virus_comp_877_cycle_1_13",26.2555777550431,125
"virus_comp_5131_cycle_1_6",26.2553341745806,126
"virus_comp_18276_cycle_1_2",26.2408375438178,127
"edge_2381_9",26.2369432291547,128
"virus_comp_17840_cycle_1_69",26.2321148269566,129
"edge_2381_7",26.2012353937458,130
"virus_comp_3124_cycle_1_3",26.1930027209739,131
"edge_2636_2",26.1724499026128,132
"edge_2044_10",26.1677347204584,133
"edge_2381_37",26.1494045813462,134
"virus_comp_935_cycle_1_8",26.1382395712198,135
"virus_comp_2080_cycle_1_8",26.1309236590932,136
"virus_comp_3571_cycle_1_4",26.1264256367616,137
"edge_2381_36",26.123087420613,138
"edge_2381_3",26.1005208221516,139
"virus_comp_16041_cycle_1_3",26.0802056074272,140
"virus_comp_17889_cycle_1_67",26.0770092144552,141
"virus_comp_4410_cycle_1_1",26.0544633261532,142
"virus_comp_14204_cycle_1_2",26.0460717341927,143
"virus_comp_873_cycle_1_6",26.0383602325332,144
"virus_comp_16041_cycle_1_2",26.0242662038752,145
"virus_comp_875_cycle_1_2",26.0154188415153,146
"edge_2381_43",26.0146377879379,147
"edge_2381_27",26.0024900489062,148
"edge_2381_25",26.0014266407367,149
"virus_comp_16041_cycle_1_1",26.0001466007937,150
"virus_comp_1147_cycle_1_2",25.984878861692,151
"virus_comp_3208_cycle_1_4",25.9643864473657,152
"virus_comp_2133_cycle_1_5",25.9617570439992,153
"edge_2381_26",25.9564459398376,154
"virus_comp_1036_cycle_1_3",25.9546103165596,155
"virus_comp_2080_cycle_1_11",25.8899625487915,156
"virus_comp_16682_cycle_1_1",25.8818998297738,157
"virus_comp_3124_cycle_1_5",25.8781342254044,158
"virus_comp_62_cycle_1_56",25.876000292946,159
"virus_comp_873_cycle_1_5",25.8755773901452,160
"virus_comp_2097_cycle_1_7",25.8694798820386,161
"virus_comp_873_cycle_1_9",25.8608889175609,162
"edge_2381_32",25.8457225809696,163
"virus_comp_2080_cycle_1_9",25.8426308300535,164
"virus_comp_2195_cycle_1_4",25.8340000758568,165
"virus_comp_936_cycle_1_2",25.7752528733211,166
"virus_comp_1035_cycle_1_1",25.7511813044226,167
"edge_72_24",25.749810436102,168
"virus_comp_1727_cycle_1_1",25.7477553151801,169
"virus_comp_17896_cycle_1_6",25.7346323158542,170
"virus_comp_935_cycle_1_5",25.7190203328147,171
"virus_comp_62_cycle_1_19",25.7188929911198,172
"edge_2381_40",25.70409016571,173
"virus_comp_3571_cycle_1_3",25.6958675544225,174
"virus_comp_2165_cycle_1_6",25.6869698767644,175
"virus_comp_3124_cycle_1_6",25.6848616970603,176
"virus_comp_12691_cycle_1_1",25.6824093597808,177
"virus_comp_3571_cycle_1_2",25.6807787120482,178
"edge_2381_4",25.6737966933407,179
"virus_comp_935_cycle_1_11",25.6586477388432,180
"virus_comp_505_cycle_1_5",25.6534282710576,181
"virus_comp_4690_cycle_1_4",25.6297366909463,182
"virus_comp_6552_cycle_1_1",25.5945666130826,183
"virus_comp_2195_cycle_1_1",25.5900146892084,184
"virus_comp_17889_cycle_1_25",25.5900027054609,185
"virus_comp_1035_cycle_1_3",25.5879276345971,186
"virus_comp_18276_cycle_1_1",25.5583912451062,187
"virus_comp_3571_cycle_1_5",25.5379896471764,188
"edge_2381_29",25.5085889293107,189
"virus_comp_2969_cycle_1_15",25.5014369388806,190
"virus_comp_2432_cycle_1_3",25.4993190927272,191
"virus_comp_935_cycle_1_9",25.4984440465817,192
"edge_2008_6",25.4955516980622,193
"virus_comp_2166_cycle_1_3",25.4792027163294,194
"virus_comp_2383_cycle_1_5",25.4610853458423,195
"virus_comp_2340_cycle_1_2",25.4502211213799,196
"virus_comp_2133_cycle_1_4",25.4378245873545,197
"virus_comp_9845_cycle_1_1",25.4319735642938,198
"virus_comp_3571_cycle_1_7",25.4227408556152,199
"virus_comp_9712_cycle_1_1",25.4218218960528,200
