"metric","logFC","P.Value","adj.P.Val","n_samples","n_patients","analysis_type","effect_size","celiac_mean_slope","control_mean_slope","celiac_mean_stability","control_mean_stability","celiac_mean_turnover","control_mean_turnover"
"richness",-2.02532428244811,0.000825675747105274,0.000825675747105274,306,66,"Trajectory_Interaction",-2.02532428244811,NA,NA,NA,NA,NA,NA
"shannon",-0.00432383296944265,0.598689439296459,0.598689439296459,306,66,"Trajectory_Interaction",-0.00432383296944265,NA,NA,NA,NA,NA,NA
"simpson",0.000168000615458329,0.937410853656892,0.937410853656892,306,66,"Trajectory_Interaction",0.000168000615458329,NA,NA,NA,NA,NA,NA
"evenness",0.000630368048658753,0.702449270627686,0.702449270627686,306,66,"Trajectory_Interaction",0.000630368048658753,NA,NA,NA,NA,NA,NA
"total_abundance",-5875.51269269605,0.694118696096149,0.694118696096149,306,66,"Trajectory_Interaction",-5875.51269269605,NA,NA,NA,NA,NA,NA
"dominance",-0.000231917672468838,0.907680388386482,0.907680388386482,306,66,"Trajectory_Interaction",-0.000231917672468838,NA,NA,NA,NA,NA,NA
"viral_load_cv",-2.20166472050487e-05,0.999792605726727,0.999792605726727,306,66,"Trajectory_Interaction",-2.20166472050487e-05,NA,NA,NA,NA,NA,NA
"richness",-2.32530181038162,0.0681664072036127,0.0681664072036127,47,NA,"Slope_Difference",-2.32530181038162,2.87052617078871,1.20379191900103,NA,NA,NA,NA
"shannon",-0.0348516156724296,0.0629222296408144,0.0629222296408144,47,NA,"Slope_Difference",-0.0348516156724296,0.0482909705748891,0.030475665880687,NA,NA,NA,NA
"simpson",-0.00979055804408959,0.0481574240333351,0.0481574240333351,47,NA,"Slope_Difference",-0.00979055804408959,0.0144153160762119,0.00988653347314357,NA,NA,NA,NA
"evenness",-0.00811347923098344,0.0391426111272367,0.0391426111272367,47,NA,"Slope_Difference",-0.00811347923098344,0.008949817673583,0.00459236627471038,NA,NA,NA,NA
"total_abundance",-6954.48441784256,0.650075118191156,0.650075118191156,47,NA,"Slope_Difference",-6954.48441784256,1045.96850499336,-1120.38818493918,NA,NA,NA,NA
"dominance",0.009964173895562,0.0352215479387651,0.0352215479387651,47,NA,"Slope_Difference",0.009964173895562,-0.0134651110757307,-0.00811089571958388,NA,NA,NA,NA
"viral_load_cv",0.398224182475298,0.0401347035020425,0.0401347035020425,47,NA,"Slope_Difference",0.398224182475298,-0.561390441623925,-0.353362973798393,NA,NA,NA,NA
"richness",-0.041731737568795,0.652340405109451,0.652340405109451,47,NA,"Stability_Difference",-0.041731737568795,NA,NA,0.701582178185155,0.695664483054179,NA,NA
"shannon",-0.094907765826135,0.433767963146806,0.433767963146806,47,NA,"Stability_Difference",-0.094907765826135,NA,NA,0.604115872625407,0.590340306484985,NA,NA
"simpson",-0.104235910916545,0.440485468408754,0.440485468408754,47,NA,"Stability_Difference",-0.104235910916545,NA,NA,0.505068396017934,0.492790343668544,NA,NA
"evenness",-0.0974048212540593,0.384964151023806,0.384964151023806,47,NA,"Stability_Difference",-0.0974048212540593,NA,NA,0.530469283775181,0.499754238973311,NA,NA
"total_abundance",-0.122203809341386,0.297783940032017,0.297783940032017,47,NA,"Stability_Difference",-0.122203809341386,NA,NA,1.07038173209033,0.976587731274293,NA,NA
"dominance",-0.0249155252221162,0.78174915243105,0.78174915243105,47,NA,"Stability_Difference",-0.0249155252221162,NA,NA,0.575944857206011,0.575329552218463,NA,NA
"viral_load_cv",-0.0197934674284697,0.755998652031589,0.755998652031589,47,NA,"Stability_Difference",-0.0197934674284697,NA,NA,0.427842662858034,0.428815546139587,NA,NA
"mean_turnover",0.0387889230065323,0.39423674458359,0.39423674458359,47,NA,"Turnover_Difference",0.0387889230065323,NA,NA,NA,NA,0.742539347922446,0.776313747505755
"median_turnover",0.0197678631929312,0.735209330578487,0.735209330578487,47,NA,"Turnover_Difference",0.0197678631929312,NA,NA,NA,NA,0.781788344493746,0.805142717890264
