"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.44519245505252,0.526566426377908,0.845463046542608,0.397852356527656
"2","CountryUSA",0.399032981492248,0.559279552568534,0.713476792884093,0.475550768649166
"3","SexMale",0.74245434064774,0.325872381611302,2.278359206069,0.0227051848127726
"4","Delivery.ModeVaginal",-1.19660944386849,0.581589908189654,-2.05747972414659,0.0396401033177763
"5","HLA.CategoryLow/No Risk",-0.364746425892295,0.423696389037055,-0.860867440294364,0.389311056127449
"6","HLA.CategoryStandard Risk",-0.496169256294627,0.295120543366386,-1.68124269030856,0.0927157845354956
"7","feeding_first_yearBreastmilk_and_formula",-0.182144119589504,0.326946399068602,-0.55710697566449,0.577454341809197
"8","feeding_first_yearFormula",-0.0720080006788206,0.340699964190209,-0.211353120772914,0.832611734607751
"9","Age.at.Gluten.Introduction..months.11",19.6827361666877,2329.76774150348,0.00844836840001299,0.99325925747642
"10","Age.at.Gluten.Introduction..months.15",-0.395966961087269,3729.09448050012,-0.00010618313994398,0.99991527811218
"11","Age.at.Gluten.Introduction..months.36",19.5428703119912,2329.76772860051,0.00838833419833258,0.993307156141767
"12","Age.at.Gluten.Introduction..months.4",19.7679931549307,2329.76779764652,0.00848496282543687,0.993230060395871
"13","Age.at.Gluten.Introduction..months.5",19.9814927919127,2329.76778377579,0.00857660275460126,0.993156944971772
"14","Age.at.Gluten.Introduction..months.6",19.3149397213249,2329.7677074986,0.00829050023277329,0.993385213638042
"15","Age.at.Gluten.Introduction..months.7",18.4619222256762,2329.7677024696,0.00792436181774954,0.993677340223912
"16","Age.at.Gluten.Introduction..months.8",18.6318820133973,2329.76772696728,0.00799731312170374,0.993619135349204
"17","Age.at.Gluten.Introduction..months.9",20.1732213203676,2329.76771337861,0.00865889814015514,0.993091285192409
"18","Age.at.Solid.Introduction..months.4",0.384320675321561,33748.4461565466,1.1387803561054e-05,0.999990913847357
"19","Age.at.Solid.Introduction..months.5",0.418217162829942,33748.4461545008,1.23921901741887e-05,0.999990112462786
"20","Age.at.Solid.Introduction..months.6",0.621440272229976,33748.446155399,1.84138928757927e-05,0.999985307839171
"21","Age.at.Solid.Introduction..months.7",0.107838574106364,33748.4461549232,3.19536412465712e-06,0.999997450468299
"22","Age.at.Solid.Introduction..months.8",21.03945858873,33667.9239366197,0.000624911076439908,0.999501393132686
