"","joint_model.statistics.P.gammas"
"CountryUSA",0.0215555555555556
"SexMale",0
"Delivery.ModeVaginal",0.374888888888889
"HLA.CategoryLow/No Risk",0.000666666666666667
"HLA.CategoryStandard Risk",0.669111111111111
"feeding_first_yearBreastmilk_and_formula",0.0413333333333333
"feeding_first_yearFormula",0
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.431777777777778
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.214888888888889
"Age.at.Solid.Introduction..months.5",0.393111111111111
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0.002
"Age.at.Solid.Introduction..months.8",0
