"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.173813295371472,1.18983339767857,1.18983339767857,0.321844061684942,0.540054380564028,1.88360407886442,9.35431671383826
"CountryUSA","CountryUSA",0.426370047410852,1.5316874672568,1.5316874672568,0.560024086649855,0.761342337900963,1.66706695482973,98.5473707203765
"SexMale","SexMale",0.762880770985444,2.1444449857255,2.1444449857255,0.332038633719503,2.29756628751191,3.06063181442708,61.0072500083194
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.19092638977844,0.303939567098031,0.303939567098031,0.582120350139806,-2.0458422205862,1.10198689418661,2.58891155831816
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.364406060461207,0.694609084184733,0.694609084184733,0.422044397793935,-0.863430630440757,1.35491069329768,4.89636447458787
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.488898055800163,0.613301846373116,0.613301846373116,0.296252681250397,-1.6502738599248,1.40940190169375,2.99243357623811
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.185260821729915,0.830887542061784,0.830887542061784,0.325991565434229,-0.568299432787911,1.55051787578677,4.82629885658979
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0828595169450343,0.920480450043142,0.920480450043142,0.340561392776786,-0.243302731027245,1.60352189647803,6.0154090700178
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6607032192409,345569113.154514,345569113.154514,2327.6787900714,0.00844648467095317,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.417515673421689,0.658681167979427,0.658681167979427,3726.92220081494,-0.000112026935612016,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.518996233135,299910973.366529,299910973.366529,2327.67877811436,0.00838560561562847,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7699767849402,385471101.679611,385471101.679611,2327.67884726598,0.00849342975649815,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9192923783096,447547116.457343,447547116.457343,2327.67883471017,0.00855757765258448,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2798805521437,236127046.824846,236127046.824846,2327.67875775158,0.0082828785922191,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4544648970264,103436131.892001,103436131.892001,2327.67875188405,0.00792826969017491,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6379037713124,124262120.97633,124262120.97633,2327.67877632885,0.00800707724830812,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1490652772171,563154897.60118,563154897.60118,2327.67876271318,0.00865629123742615,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.403132881124542,1.49650573581703,1.49650573581703,33740.9592481835,1.19478784867755e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.415629585900876,1.51532446735401,1.51532446735401,33740.9592461751,1.23182504346847e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.643673478645265,1.90346037297802,1.90346037297802,33740.9592470876,1.9076916987795e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.110227186433413,1.11653170250218,1.11653170250218,33740.9592465957,3.26686581812384e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0567352691357,1395802379.26649,1395802379.26649,33660.5729949308,0.000625560808852149,1,Inf
