"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",1.0295717266802,0.316697199859107,3.34710234523964,0.961358397203164,"Dx Status: Case"
"2","Country: USA",0.87841202566783,0.196603706358838,3.92468535374169,0.865214290614735,"Country: USA"
"3","Sex:Male",1.51081859219663,0.418159375881161,5.45861924945984,0.528939385839371,"Sex:Male"
"4","Delivery Mode: Vaginal",0.979146698979019,0.202899651765828,4.72513505951209,0.979064431039515,"Delivery Mode: Vaginal"
"5","month18",0.268932977741787,0.0537630078416296,1.34525484009587,0.109846202307572,"month18"
"6","month24",1.4728532124641e-18,0,Inf,0.999996479748385,"month24"
"7","month30",0.20488384768726,0.0240866465501869,1.74276609887028,0.146666132491925,"month30"
"8","month36",0.271384010933938,0.0309937104713348,2.37626538644697,0.238749026767909,"month36"
"9","month48",0.302645410324841,0.0343187512455691,2.66892707532642,0.281881244055088,"month48"
"10","month60",1.35351672305783e-13,0,Inf,0.99998919041256,"month60"
"11","month72",1.13956297469941e-20,0,Inf,0.999998908051776,"month72"
"12","month84",7.01133787334422e-16,0,Inf,0.999999170266075,"month84"
"13","month54",6.7819305699764e-29,0,Inf,0.999998909421723,"month54"
